Year,Car Make and Model,Retail Price,Highway MPG,Body Style,Base Curb Weight (lbs),Parking Aid,Back-Up Camera,Stability Control
2019,2019 Acura RDX Specs: FWD w/Technology Pkg,40600.0,28.0,Car,3790.0,Yes,Yes,Yes
2019,2019 Acura RDX Specs: FWD w/Advance Pkg,45500.0,28.0,Car,3829.0,Yes,Yes,Yes
2019,2019 Acura RDX Specs: FWD w/A-Spec Pkg,43600.0,27.0,Car,3821.0,Yes,Yes,Yes
2019,2019 Acura RDX Specs: FWD,37400.0,28.0,Car,3783.0,No,Yes,Yes
2019,2019 Acura RDX Specs: AWD w/Technology Pkg,42600.0,27.0,Car,4026.0,Yes,Yes,Yes
2019,2019 Acura RDX Specs: AWD w/Advance Pkg,47500.0,27.0,Car,4068.0,Yes,Yes,Yes
2019,2019 Acura RDX Specs: AWD w/A-Spec Pkg,45600.0,26.0,Car,4015.0,Yes,Yes,Yes
2018,2018 Acura RDX Specs: AWD,37500.0,27.0,Car,3902.0,No,Yes,Yes
2018,2018 Acura RDX Specs: FWD w/Technology/AcuraWatch Plus Pkg,41000.0,28.0,Car,3772.0,No,Yes,Yes
2018,2018 Acura RDX Specs: FWD w/Technology Pkg,39700.0,28.0,Car,3768.0,No,Yes,Yes
2018,2018 Acura RDX Specs: FWD w/Advance Pkg,42700.0,28.0,Car,3781.0,Yes,Yes,Yes
2018,2018 Acura RDX Specs: FWD w/AcuraWatch Plus,37300.0,28.0,Car,3743.0,No,Yes,Yes
2018,2018 Acura RDX Specs: FWD,36000.0,28.0,Car,3737.0,No,Yes,Yes
2018,2018 Acura RDX Specs: AWD w/Technology/AcuraWatch Plus Pkg,42500.0,27.0,Car,3935.0,No,Yes,Yes
2018,2018 Acura RDX Specs: AWD w/Technology Pkg,41200.0,27.0,Car,3931.0,No,Yes,Yes
2018,2018 Acura RDX Specs: AWD w/Advance Pkg,44200.0,27.0,Car,3946.0,Yes,Yes,Yes
2018,2018 Acura RDX Specs: AWD w/AcuraWatch Plus,38800.0,27.0,Car,3907.0,No,Yes,Yes
2016,2016 Acura RDX Specs: AWD 4-Door,36870.0,28.0,Car,3902.0,No,Yes,Yes
2016,2016 Acura RDX Specs: FWD 4-Door Tech/AcuraWatch Plus Pkg,40370.0,29.0,Car,3774.0,No,Yes,Yes
2016,2016 Acura RDX Specs: FWD 4-Door Tech Pkg,39070.0,29.0,Car,3768.0,No,Yes,Yes
2016,2016 Acura RDX Specs: FWD 4-Door Advance Pkg,42020.0,29.0,Car,3781.0,Yes,Yes,Yes
2016,2016 Acura RDX Specs: FWD 4-Door AcuraWatch Plus Pkg,36670.0,29.0,Car,3743.0,No,Yes,Yes
2016,2016 Acura RDX Specs: FWD 4-Door,35370.0,29.0,Car,3737.0,No,Yes,Yes
2016,2016 Acura RDX Specs: AWD 4-Door Tech/AcuraWatch Plus Pkg,41870.0,28.0,Car,3936.0,No,Yes,Yes
2016,2016 Acura RDX Specs: AWD 4-Door Tech Pkg,40570.0,28.0,Car,3931.0,No,Yes,Yes
2016,2016 Acura RDX Specs: AWD 4-Door Advance Pkg,43520.0,28.0,Car,3946.0,Yes,Yes,Yes
2016,2016 Acura RDX Specs: AWD 4-Door AcuraWatch Plus Pkg,38170.0,28.0,Car,3907.0,No,Yes,Yes
2015,2015 Acura RDX Specs: AWD 4-Door,36495.0,27.0,Car,3838.0,No,Yes,Yes
2015,2015 Acura RDX Specs: FWD 4-Door Tech Pkg,38795.0,28.0,Car,3732.0,No,Yes,Yes
2015,2015 Acura RDX Specs: FWD 4-Door,35095.0,28.0,Car,3717.0,No,Yes,Yes
2015,2015 Acura RDX Specs: AWD 4-Door Tech Pkg,40195.0,27.0,Car,3852.0,No,Yes,Yes
2014,2014 Acura RDX Specs: AWD 4-Door,35920.0,27.0,Car,3838.0,No,Yes,Yes
2014,2014 Acura RDX Specs: FWD 4-Door Tech Pkg,38220.0,28.0,Car,3732.0,No,Yes,Yes
2014,2014 Acura RDX Specs: FWD 4-Door,34520.0,28.0,Car,3717.0,No,Yes,Yes
2014,2014 Acura RDX Specs: AWD 4-Door Tech Pkg,39620.0,27.0,Car,3852.0,No,Yes,Yes
2013,2013 Acura RDX Specs: AWD 4-Door,35720.0,27.0,Car,3838.0,No,Yes,Yes
2013,2013 Acura RDX Specs: FWD 4-Door Tech Pkg,38020.0,28.0,Car,3732.0,No,Yes,Yes
2013,2013 Acura RDX Specs: FWD 4-Door,34320.0,28.0,Car,3717.0,No,Yes,Yes
2013,2013 Acura RDX Specs: AWD 4-Door Tech Pkg,39420.0,27.0,Car,3852.0,No,Yes,Yes
2012,2012 Acura RDX Specs: AWD 4-Door,34895.0,22.0,Car,3931.0,No,Yes,Yes
2012,2012 Acura RDX Specs: FWD 4-Door Tech Pkg,35995.0,24.0,Car,3752.0,No,Yes,Yes
2012,2012 Acura RDX Specs: FWD 4-Door,32895.0,24.0,Car,3743.0,No,Yes,Yes
2012,2012 Acura RDX Specs: AWD 4-Door Tech Pkg,37995.0,22.0,Car,3942.0,No,Yes,Yes
2011,2011 Acura RDX Specs: AWD 4-Door,34895.0,22.0,Car,3931.0,No,Yes,Yes
2011,2011 Acura RDX Specs: FWD 4-Door Tech Pkg,35995.0,24.0,Car,3752.0,No,Yes,Yes
2011,2011 Acura RDX Specs: FWD 4-Door,32895.0,24.0,Car,3743.0,No,Yes,Yes
2011,2011 Acura RDX Specs: AWD 4-Door Tech Pkg,37995.0,22.0,Car,3942.0,No,Yes,Yes
2010,2010 Acura RDX Specs: AWD 4-Door,34520.0,22.0,Car,3931.0,No,Yes,Yes
2010,2010 Acura RDX Specs: FWD 4-Door Tech Pkg,35620.0,24.0,Car,3752.0,No,Yes,Yes
